dep,sexe,jour,hosp,rea,rad,dc
1,0,18/3/2020,2,0,1,0
1,1,18/3/2020,1,0,1,0
1,2,18/3/2020,1,0,0,0
2,0,18/3/2020,41,10,18,11
2,1,18/3/2020,19,4,11,6
2,2,18/3/2020,22,6,7,5
3,0,18/3/2020,4,0,1,0
3,1,18/3/2020,1,0,0,0
3,2,18/3/2020,3,0,1,0
4,0,18/3/2020,3,1,2,0
4,1,18/3/2020,3,1,0,0
4,2,18/3/2020,0,0,2,0
5,0,18/3/2020,8,1,9,0
5,1,18/3/2020,1,0,7,0
5,2,18/3/2020,7,1,2,0
6,0,18/3/2020,25,1,47,2
6,1,18/3/2020,15,1,19,0
6,2,18/3/2020,10,0,28,2
7,0,18/3/2020,12,1,0,0
7,1,18/3/2020,7,1,0,0
7,2,18/3/2020,3,0,0,0
8,0,18/3/2020,0,0,1,0
8,1,18/3/2020,0,0,1,0
8,2,18/3/2020,0,0,0,0
9,0,18/3/2020,1,1,2,0
9,1,18/3/2020,0,0,1,0
9,2,18/3/2020,1,1,1,0
10,0,18/3/2020,5,0,0,0
10,1,18/3/2020,4,0,0,0
10,2,18/3/2020,1,0,0,0
11,0,18/3/2020,8,7,9,3
11,1,18/3/2020,6,5,2,2
11,2,18/3/2020,2,2,7,1
12,0,18/3/2020,7,2,1,0
12,1,18/3/2020,3,1,0,0
12,2,18/3/2020,4,1,1,0
13,0,18/3/2020,98,11,59,4
13,1,18/3/2020,50,6,35,2
13,2,18/3/2020,48,5,23,2
14,0,18/3/2020,4,1,0,0
14,1,18/3/2020,3,0,0,0
14,2,18/3/2020,1,1,0,0
15,0,18/3/2020,2,1,0,0
15,1,18/3/2020,2,1,0,0
15,2,18/3/2020,0,0,0,0
16,0,18/3/2020,1,0,0,0
16,1,18/3/2020,0,0,0,0
16,2,18/3/2020,1,0,0,0
17,0,18/3/2020,5,2,2,0
17,1,18/3/2020,5,2,2,0
17,2,18/3/2020,0,0,0,0
18,0,18/3/2020,0,0,0,0
18,1,18/3/2020,0,0,0,0
18,2,18/3/2020,0,0,0,0
19,0,18/3/2020,0,0,0,0
19,1,18/3/2020,0,0,0,0
19,2,18/3/2020,0,0,0,0
21,0,18/3/2020,60,16,4,0
21,1,18/3/2020,30,10,0,0
21,2,18/3/2020,30,6,4,0
22,0,18/3/2020,1,1,3,0
22,1,18/3/2020,1,1,1,0
22,2,18/3/2020,0,0,2,0
23,0,18/3/2020,0,0,0,0
23,1,18/3/2020,0,0,0,0
23,2,18/3/2020,0,0,0,0
24,0,18/3/2020,2,1,1,0
24,1,18/3/2020,1,1,1,0
24,2,18/3/2020,1,0,0,0
25,0,18/3/2020,26,3,8,1
25,1,18/3/2020,15,2,2,1
25,2,18/3/2020,11,1,6,0
26,0,18/3/2020,17,2,0,0
26,1,18/3/2020,10,1,0,0
26,2,18/3/2020,7,1,0,0
27,0,18/3/2020,0,0,0,0
27,1,18/3/2020,0,0,0,0
27,2,18/3/2020,0,0,0,0
28,0,18/3/2020,5,3,0,1
28,1,18/3/2020,1,1,0,1
28,2,18/3/2020,4,2,0,0
29,0,18/3/2020,13,5,3,0
29,1,18/3/2020,8,4,2,0
29,2,18/3/2020,5,1,1,0
2A,0,18/3/2020,0,0,0,0
2A,1,18/3/2020,0,0,0,0
2A,2,18/3/2020,0,0,0,0
2B,0,18/3/2020,0,0,0,0
2B,1,18/3/2020,0,0,0,0
2B,2,18/3/2020,0,0,0,0
30,0,18/3/2020,5,3,6,0
30,1,18/3/2020,5,3,1,0
30,2,18/3/2020,0,0,5,0
31,0,18/3/2020,23,5,11,0
31,1,18/3/2020,15,4,4,0
31,2,18/3/2020,8,1,7,0
32,0,18/3/2020,1,1,0,0
32,1,18/3/2020,1,1,0,0
32,2,18/3/2020,0,0,0,0
33,0,18/3/2020,7,4,3,1
33,1,18/3/2020,5,3,1,0
33,2,18/3/2020,2,1,2,1
34,0,18/3/2020,37,15,18,2
34,1,18/3/2020,18,7,9,1
34,2,18/3/2020,18,7,9,1
35,0,18/3/2020,7,3,0,0
35,1,18/3/2020,4,2,0,0
35,2,18/3/2020,3,1,0,0
36,0,18/3/2020,0,0,0,0
36,1,18/3/2020,0,0,0,0
36,2,18/3/2020,0,0,0,0
37,0,18/3/2020,4,1,0,0
37,1,18/3/2020,2,1,0,0
37,2,18/3/2020,2,0,0,0
38,0,18/3/2020,18,2,0,1
38,1,18/3/2020,10,1,0,1
38,2,18/3/2020,8,1,0,0
39,0,18/3/2020,2,1,1,0
39,1,18/3/2020,1,0,1,0
39,2,18/3/2020,1,1,0,0
40,0,18/3/2020,0,0,0,0
40,1,18/3/2020,0,0,0,0
40,2,18/3/2020,0,0,0,0
41,0,18/3/2020,0,0,0,0
41,1,18/3/2020,0,0,0,0
41,2,18/3/2020,0,0,0,0
42,0,18/3/2020,31,10,3,1
42,1,18/3/2020,21,9,2,1
42,2,18/3/2020,10,1,1,0
43,0,18/3/2020,1,1,5,0
43,1,18/3/2020,1,1,2,0
43,2,18/3/2020,0,0,3,0
44,0,18/3/2020,18,3,7,1
44,1,18/3/2020,14,3,3,0
44,2,18/3/2020,4,0,4,1
45,0,18/3/2020,5,1,0,0
45,1,18/3/2020,3,1,0,0
45,2,18/3/2020,2,0,0,0
46,0,18/3/2020,0,0,1,0
46,1,18/3/2020,0,0,0,0
46,2,18/3/2020,0,0,1,0
47,0,18/3/2020,10,4,1,0
47,1,18/3/2020,7,4,1,0
47,2,18/3/2020,3,0,0,0
48,0,18/3/2020,1,0,0,0
48,1,18/3/2020,0,0,0,0
48,2,18/3/2020,1,0,0,0
49,0,18/3/2020,12,1,26,0
49,1,18/3/2020,6,1,17,0
49,2,18/3/2020,6,0,9,0
50,0,18/3/2020,7,0,1,0
50,1,18/3/2020,4,0,0,0
50,2,18/3/2020,3,0,1,0
51,0,18/3/2020,35,7,6,1
51,1,18/3/2020,19,4,2,1
51,2,18/3/2020,16,3,4,0
52,0,18/3/2020,4,0,0,1
52,1,18/3/2020,2,0,0,0
52,2,18/3/2020,2,0,0,1
53,0,18/3/2020,4,0,2,0
53,1,18/3/2020,3,0,1,0
53,2,18/3/2020,1,0,1,0
54,0,18/3/2020,42,19,1,5
54,1,18/3/2020,23,13,0,2
54,2,18/3/2020,17,5,1,3
55,0,18/3/2020,11,3,0,0
55,1,18/3/2020,6,1,0,0
55,2,18/3/2020,5,2,0,0
56,0,18/3/2020,39,14,63,7
56,1,18/3/2020,22,10,28,5
56,2,18/3/2020,17,4,35,2
57,0,18/3/2020,169,34,11,16
57,1,18/3/2020,96,26,6,7
57,2,18/3/2020,73,8,5,9
58,0,18/3/2020,0,0,0,0
58,1,18/3/2020,0,0,0,0
58,2,18/3/2020,0,0,0,0
59,0,18/3/2020,106,26,16,3
59,1,18/3/2020,61,19,10,2
59,2,18/3/2020,44,7,6,1
60,0,18/3/2020,94,22,18,6
60,1,18/3/2020,54,16,11,3
60,2,18/3/2020,40,6,7,3
61,0,18/3/2020,4,0,2,0
61,1,18/3/2020,1,0,1,0
61,2,18/3/2020,3,0,1,0
62,0,18/3/2020,22,9,16,0
62,1,18/3/2020,10,6,12,0
62,2,18/3/2020,12,3,4,0
63,0,18/3/2020,10,2,3,0
63,1,18/3/2020,7,2,2,0
63,2,18/3/2020,3,0,1,0
64,0,18/3/2020,5,0,0,0
64,1,18/3/2020,2,0,0,0
64,2,18/3/2020,3,0,0,0
65,0,18/3/2020,0,0,0,0
65,1,18/3/2020,0,0,0,0
65,2,18/3/2020,0,0,0,0
66,0,18/3/2020,9,5,1,0
66,1,18/3/2020,7,4,0,0
66,2,18/3/2020,2,1,1,0
67,0,18/3/2020,210,58,4,15
67,1,18/3/2020,108,37,3,7
67,2,18/3/2020,99,21,1,8
68,0,18/3/2020,371,77,116,74
68,1,18/3/2020,203,50,67,38
68,2,18/3/2020,164,27,47,35
69,0,18/3/2020,36,8,10,0
69,1,18/3/2020,14,1,4,0
69,2,18/3/2020,12,5,6,0
70,0,18/3/2020,14,4,2,0
70,1,18/3/2020,7,2,0,0
70,2,18/3/2020,7,2,2,0
71,0,18/3/2020,35,0,4,5
71,1,18/3/2020,13,0,2,3
71,2,18/3/2020,22,0,2,2
72,0,18/3/2020,9,0,1,0
72,1,18/3/2020,3,0,0,0
72,2,18/3/2020,6,0,1,0
73,0,18/3/2020,8,0,3,0
73,1,18/3/2020,2,0,2,0
73,2,18/3/2020,6,0,1,0
74,0,18/3/2020,31,8,43,5
74,1,18/3/2020,15,5,24,2
74,2,18/3/2020,9,0,18,3
75,0,18/3/2020,359,105,40,14
75,1,18/3/2020,217,70,22,10
75,2,18/3/2020,139,35,18,4
76,0,18/3/2020,30,3,3,3
76,1,18/3/2020,17,2,1,3
76,2,18/3/2020,13,1,2,0
77,0,18/3/2020,25,13,10,0
77,1,18/3/2020,15,12,6,0
77,2,18/3/2020,10,1,4,0
78,0,18/3/2020,69,18,5,5
78,1,18/3/2020,34,11,2,4
78,2,18/3/2020,35,7,3,1
79,0,18/3/2020,2,1,2,0
79,1,18/3/2020,1,1,1,0
79,2,18/3/2020,1,0,1,0
80,0,18/3/2020,50,20,9,1
80,1,18/3/2020,27,12,5,0
80,2,18/3/2020,22,8,4,1
81,0,18/3/2020,2,0,2,0
81,1,18/3/2020,1,0,2,0
81,2,18/3/2020,1,0,0,0
82,0,18/3/2020,1,0,0,1
82,1,18/3/2020,0,0,0,1
82,2,18/3/2020,1,0,0,0
83,0,18/3/2020,23,7,78,0
83,1,18/3/2020,12,6,39,0
83,2,18/3/2020,11,1,39,0
84,0,18/3/2020,9,3,7,1
84,1,18/3/2020,4,2,6,0
84,2,18/3/2020,5,1,1,1
85,0,18/3/2020,1,0,0,0
85,1,18/3/2020,0,0,0,0
85,2,18/3/2020,1,0,0,0
86,0,18/3/2020,7,0,0,1
86,1,18/3/2020,1,0,0,0
86,2,18/3/2020,6,0,0,1
87,0,18/3/2020,2,0,2,0
87,1,18/3/2020,1,0,0,0
87,2,18/3/2020,1,0,2,0
88,0,18/3/2020,32,6,7,8
88,1,18/3/2020,19,5,2,4
88,2,18/3/2020,13,1,5,4
89,0,18/3/2020,6,0,1,0
89,1,18/3/2020,5,0,1,0
89,2,18/3/2020,1,0,0,0
90,0,18/3/2020,25,9,0,0
90,1,18/3/2020,13,6,0,0
90,2,18/3/2020,12,3,0,0
91,0,18/3/2020,51,16,0,1
91,1,18/3/2020,35,11,0,0
91,2,18/3/2020,16,5,0,1
92,0,18/3/2020,149,48,22,4
92,1,18/3/2020,92,35,12,4
92,2,18/3/2020,55,13,10,0
93,0,18/3/2020,92,33,15,5
93,1,18/3/2020,59,21,9,3
93,2,18/3/2020,33,12,6,2
94,0,18/3/2020,122,32,16,5
94,1,18/3/2020,76,24,15,5
94,2,18/3/2020,44,8,1,0
95,0,18/3/2020,90,29,21,2
95,1,18/3/2020,64,23,8,2
95,2,18/3/2020,25,6,12,0
971,0,18/3/2020,0,0,0,0
971,1,18/3/2020,0,0,0,0
971,2,18/3/2020,0,0,0,0
972,0,18/3/2020,16,5,0,1
972,1,18/3/2020,9,3,0,0
972,2,18/3/2020,7,2,0,1
973,0,18/3/2020,0,0,0,0
973,1,18/3/2020,0,0,0,0
973,2,18/3/2020,0,0,0,0
974,0,18/3/2020,2,2,0,0
974,1,18/3/2020,2,2,0,0
974,2,18/3/2020,0,0,0,0
976,0,18/3/2020,0,0,0,0
976,1,18/3/2020,0,0,0,0
976,2,18/3/2020,0,0,0,0
1,0,19/3/2020,2,0,1,0
1,1,19/3/2020,1,0,1,0
1,2,19/3/2020,1,0,0,0
2,0,19/3/2020,43,15,33,19
2,1,19/3/2020,23,7,16,13
2,2,19/3/2020,20,8,17,6
3,0,19/3/2020,0,0,7,0
3,1,19/3/2020,0,0,2,0
3,2,19/3/2020,0,0,5,0
4,0,19/3/2020,3,1,3,0
4,1,19/3/2020,3,1,1,0
4,2,19/3/2020,0,0,2,0
5,0,19/3/2020,10,1,10,0
5,1,19/3/2020,3,0,8,0
5,2,19/3/2020,7,1,2,0
6,0,19/3/2020,33,5,48,2
6,1,19/3/2020,21,4,19,0
6,2,19/3/2020,11,0,29,2
7,0,19/3/2020,11,2,0,0
7,1,19/3/2020,6,1,0,0
7,2,19/3/2020,3,0,0,0
8,0,19/3/2020,0,0,1,0
8,1,19/3/2020,0,0,1,0
8,2,19/3/2020,0,0,0,0
9,0,19/3/2020,1,1,2,0
9,1,19/3/2020,0,0,1,0
9,2,19/3/2020,1,1,1,0
10,0,19/3/2020,6,1,0,0
10,1,19/3/2020,5,0,0,0
10,2,19/3/2020,1,1,0,0
11,0,19/3/2020,18,11,8,6
11,1,19/3/2020,12,7,2,3
11,2,19/3/2020,6,4,6,3
12,0,19/3/2020,9,2,2,1
12,1,19/3/2020,3,1,0,1
12,2,19/3/2020,6,1,2,0
13,0,19/3/2020,128,20,97,4
13,1,19/3/2020,63,11,54,2
13,2,19/3/2020,65,9,42,2
14,0,19/3/2020,4,1,1,0
14,1,19/3/2020,3,0,0,0
14,2,19/3/2020,1,1,1,0
15,0,19/3/2020,3,1,0,0
15,1,19/3/2020,3,1,0,0
15,2,19/3/2020,0,0,0,0
16,0,19/3/2020,0,0,2,0
16,1,19/3/2020,0,0,1,0
16,2,19/3/2020,0,0,1,0
17,0,19/3/2020,7,2,2,0
17,1,19/3/2020,7,2,2,0
17,2,19/3/2020,0,0,0,0
18,0,19/3/2020,0,0,0,0
18,1,19/3/2020,0,0,0,0
18,2,19/3/2020,0,0,0,0
19,0,19/3/2020,1,0,0,0
19,1,19/3/2020,1,0,0,0
19,2,19/3/2020,0,0,0,0
21,0,19/3/2020,53,19,28,2
21,1,19/3/2020,30,13,9,0
21,2,19/3/2020,23,6,18,2
22,0,19/3/2020,2,1,3,0
22,1,19/3/2020,2,1,1,0
22,2,19/3/2020,0,0,2,0
23,0,19/3/2020,0,0,0,0
23,1,19/3/2020,0,0,0,0
23,2,19/3/2020,0,0,0,0
24,0,19/3/2020,2,1,1,0
24,1,19/3/2020,1,1,1,0
24,2,19/3/2020,1,0,0,0
25,0,19/3/2020,33,11,10,2
25,1,19/3/2020,22,10,2,1
25,2,19/3/2020,11,1,8,1
26,0,19/3/2020,32,8,2,0
26,1,19/3/2020,18,5,1,0
26,2,19/3/2020,14,3,1,0
27,0,19/3/2020,1,1,0,1
27,1,19/3/2020,1,1,0,1
27,2,19/3/2020,0,0,0,0
28,0,19/3/2020,11,4,0,1
28,1,19/3/2020,5,2,0,1
28,2,19/3/2020,6,2,0,0
29,0,19/3/2020,17,5,6,0
29,1,19/3/2020,9,4,3,0
29,2,19/3/2020,8,1,3,0
2A,0,19/3/2020,1,0,1,1
2A,1,19/3/2020,1,0,1,0
2A,2,19/3/2020,0,0,0,1
2B,0,19/3/2020,0,0,0,0
2B,1,19/3/2020,0,0,0,0
2B,2,19/3/2020,0,0,0,0
30,0,19/3/2020,4,1,7,1
30,1,19/3/2020,4,1,2,1
30,2,19/3/2020,0,0,5,0
31,0,19/3/2020,26,6,13,1
31,1,19/3/2020,18,5,5,0
31,2,19/3/2020,8,1,8,1
32,0,19/3/2020,3,3,0,0
32,1,19/3/2020,3,3,0,0
32,2,19/3/2020,0,0,0,0
33,0,19/3/2020,7,5,7,2
33,1,19/3/2020,5,4,3,1
33,2,19/3/2020,2,1,4,1
34,0,19/3/2020,49,18,21,4
34,1,19/3/2020,26,11,11,2
34,2,19/3/2020,23,7,10,2
35,0,19/3/2020,16,8,15,0
35,1,19/3/2020,12,6,6,0
35,2,19/3/2020,4,2,9,0
36,0,19/3/2020,3,0,0,0
36,1,19/3/2020,2,0,0,0
36,2,19/3/2020,1,0,0,0
37,0,19/3/2020,6,3,0,0
37,1,19/3/2020,4,2,0,0
37,2,19/3/2020,2,1,0,0
38,0,19/3/2020,22,2,3,1
38,1,19/3/2020,12,1,1,1
38,2,19/3/2020,10,1,2,0
39,0,19/3/2020,2,1,1,0
39,1,19/3/2020,1,0,1,0
39,2,19/3/2020,1,1,0,0
40,0,19/3/2020,0,0,0,0
40,1,19/3/2020,0,0,0,0
40,2,19/3/2020,0,0,0,0
41,0,19/3/2020,2,0,1,0
41,1,19/3/2020,0,0,1,0
41,2,19/3/2020,2,0,0,0
42,0,19/3/2020,48,18,8,3
42,1,19/3/2020,33,16,6,3
42,2,19/3/2020,15,2,2,0
43,0,19/3/2020,1,1,5,0
43,1,19/3/2020,1,1,2,0
43,2,19/3/2020,0,0,3,0
44,0,19/3/2020,24,6,9,1
44,1,19/3/2020,17,4,5,0
44,2,19/3/2020,7,2,4,1
45,0,19/3/2020,9,3,0,0
45,1,19/3/2020,6,3,0,0
45,2,19/3/2020,3,0,0,0
46,0,19/3/2020,0,0,1,0
46,1,19/3/2020,0,0,0,0
46,2,19/3/2020,0,0,1,0
47,0,19/3/2020,10,1,1,0
47,1,19/3/2020,7,1,1,0
47,2,19/3/2020,3,0,0,0
48,0,19/3/2020,1,0,0,0
48,1,19/3/2020,0,0,0,0
48,2,19/3/2020,1,0,0,0
49,0,19/3/2020,16,3,28,0
49,1,19/3/2020,7,2,17,0
49,2,19/3/2020,9,1,11,0
50,0,19/3/2020,6,0,2,0
50,1,19/3/2020,3,0,1,0
50,2,19/3/2020,3,0,1,0
51,0,19/3/2020,39,7,14,2
51,1,19/3/2020,21,4,6,1
51,2,19/3/2020,18,3,8,1
52,0,19/3/2020,4,0,0,1
52,1,19/3/2020,2,0,0,0
52,2,19/3/2020,2,0,0,1
53,0,19/3/2020,5,1,3,0
53,1,19/3/2020,4,1,1,0
53,2,19/3/2020,1,0,2,0
54,0,19/3/2020,54,23,1,6
54,1,19/3/2020,31,16,0,2
54,2,19/3/2020,20,6,1,4
55,0,19/3/2020,35,3,4,0
55,1,19/3/2020,17,0,1,0
55,2,19/3/2020,18,3,3,0
56,0,19/3/2020,42,12,53,9
56,1,19/3/2020,26,9,22,5
56,2,19/3/2020,16,3,31,4
57,0,19/3/2020,194,46,15,19
57,1,19/3/2020,109,36,8,8
57,2,19/3/2020,84,10,7,11
58,0,19/3/2020,0,0,0,0
58,1,19/3/2020,0,0,0,0
58,2,19/3/2020,0,0,0,0
59,0,19/3/2020,138,35,36,5
59,1,19/3/2020,83,27,23,3
59,2,19/3/2020,55,8,13,2
60,0,19/3/2020,109,21,23,14
60,1,19/3/2020,59,15,15,9
60,2,19/3/2020,50,6,8,5
61,0,19/3/2020,2,0,3,0
61,1,19/3/2020,1,0,1,0
61,2,19/3/2020,1,0,2,0
62,0,19/3/2020,30,11,25,0
62,1,19/3/2020,18,8,15,0
62,2,19/3/2020,12,3,10,0
63,0,19/3/2020,9,1,4,0
63,1,19/3/2020,7,1,2,0
63,2,19/3/2020,2,0,2,0
64,0,19/3/2020,9,0,1,0
64,1,19/3/2020,5,0,0,0
64,2,19/3/2020,4,0,1,0
65,0,19/3/2020,2,1,0,0
65,1,19/3/2020,2,1,0,0
65,2,19/3/2020,0,0,0,0
66,0,19/3/2020,19,11,3,3
66,1,19/3/2020,9,7,2,1
66,2,19/3/2020,10,4,1,2
67,0,19/3/2020,302,82,13,18
67,1,19/3/2020,159,59,8,9
67,2,19/3/2020,137,23,5,9
68,0,19/3/2020,437,73,131,91
68,1,19/3/2020,241,49,75,47
68,2,19/3/2020,192,24,54,43
69,0,19/3/2020,210,33,48,12
69,1,19/3/2020,35,6,6,0
69,2,19/3/2020,24,5,11,1
70,0,19/3/2020,14,3,3,0
70,1,19/3/2020,7,1,0,0
70,2,19/3/2020,7,2,3,0
71,0,19/3/2020,48,3,7,5
71,1,19/3/2020,19,3,2,3
71,2,19/3/2020,29,0,5,2
72,0,19/3/2020,8,0,5,0
72,1,19/3/2020,2,0,2,0
72,2,19/3/2020,6,0,3,0
73,0,19/3/2020,10,2,5,0
73,1,19/3/2020,4,2,2,0
73,2,19/3/2020,6,0,3,0
74,0,19/3/2020,37,11,49,6
74,1,19/3/2020,21,8,27,2
74,2,19/3/2020,10,0,20,4
75,0,19/3/2020,453,122,62,22
75,1,19/3/2020,279,85,31,16
75,2,19/3/2020,170,37,30,6
76,0,19/3/2020,33,4,3,4
76,1,19/3/2020,20,3,1,4
76,2,19/3/2020,13,1,2,0
77,0,19/3/2020,48,13,15,0
77,1,19/3/2020,31,10,7,0
77,2,19/3/2020,17,3,8,0
78,0,19/3/2020,92,20,7,6
78,1,19/3/2020,50,13,2,5
78,2,19/3/2020,42,7,5,1
79,0,19/3/2020,3,1,3,0
79,1,19/3/2020,1,1,1,0
79,2,19/3/2020,2,0,2,0
80,0,19/3/2020,74,23,12,2
80,1,19/3/2020,38,15,7,1
80,2,19/3/2020,35,8,5,1
81,0,19/3/2020,5,1,2,0
81,1,19/3/2020,2,0,2,0
81,2,19/3/2020,3,1,0,0
82,0,19/3/2020,1,0,0,1
82,1,19/3/2020,0,0,0,1
82,2,19/3/2020,1,0,0,0
83,0,19/3/2020,27,13,86,2
83,1,19/3/2020,20,10,41,1
83,2,19/3/2020,7,3,45,1
84,0,19/3/2020,12,4,9,1
84,1,19/3/2020,6,2,6,0
84,2,19/3/2020,6,2,3,1
85,0,19/3/2020,5,1,5,0
85,1,19/3/2020,2,0,2,0
85,2,19/3/2020,3,1,3,0
86,0,19/3/2020,7,0,0,1
86,1,19/3/2020,1,0,0,0
86,2,19/3/2020,6,0,0,1
87,0,19/3/2020,6,1,2,0
87,1,19/3/2020,3,1,0,0
87,2,19/3/2020,3,0,2,0
88,0,19/3/2020,38,6,8,11
88,1,19/3/2020,21,4,3,7
88,2,19/3/2020,17,2,5,4
89,0,19/3/2020,5,1,1,2
89,1,19/3/2020,4,1,1,1
89,2,19/3/2020,1,0,0,1
90,0,19/3/2020,39,9,0,3
90,1,19/3/2020,24,8,0,1
90,2,19/3/2020,15,1,0,2
91,0,19/3/2020,82,22,4,1
91,1,19/3/2020,53,15,2,0
91,2,19/3/2020,29,7,2,1
92,0,19/3/2020,206,54,31,7
92,1,19/3/2020,116,42,16,6
92,2,19/3/2020,89,12,15,1
93,0,19/3/2020,143,45,21,5
93,1,19/3/2020,82,24,12,3
93,2,19/3/2020,59,20,9,2
94,0,19/3/2020,182,47,41,10
94,1,19/3/2020,108,35,22,8
94,2,19/3/2020,72,12,19,2
95,0,19/3/2020,150,37,32,5
95,1,19/3/2020,98,30,18,5
95,2,19/3/2020,51,7,14,0
971,0,19/3/2020,0,0,0,0
971,1,19/3/2020,0,0,0,0
971,2,19/3/2020,0,0,0,0
972,0,19/3/2020,17,5,0,1
972,1,19/3/2020,9,3,0,0
972,2,19/3/2020,8,2,0,1
973,0,19/3/2020,0,0,0,0
973,1,19/3/2020,0,0,0,0
973,2,19/3/2020,0,0,0,0
974,0,19/3/2020,2,2,0,0
974,1,19/3/2020,2,2,0,0
974,2,19/3/2020,0,0,0,0
976,0,19/3/2020,0,0,0,0
976,1,19/3/2020,0,0,0,0
976,2,19/3/2020,0,0,0,0
1,0,20/3/2020,2,0,1,0
1,1,20/3/2020,1,0,1,0
1,2,20/3/2020,1,0,0,0
2,0,20/3/2020,52,19,40,24
2,1,20/3/2020,30,10,18,16
2,2,20/3/2020,22,9,22,8
3,0,20/3/2020,1,0,10,0
3,1,20/3/2020,1,0,4,0
3,2,20/3/2020,0,0,6,0
4,0,20/3/2020,3,1,3,0
4,1,20/3/2020,3,1,1,0
4,2,20/3/2020,0,0,2,0
5,0,20/3/2020,13,1,10,0
5,1,20/3/2020,5,0,8,0
5,2,20/3/2020,8,1,2,0
6,0,20/3/2020,43,7,61,4
6,1,20/3/2020,25,6,26,1
6,2,20/3/2020,16,0,34,3
7,0,20/3/2020,15,3,3,1
7,1,20/3/2020,8,2,0,1
7,2,20/3/2020,5,0,3,0
8,0,20/3/2020,1,1,1,0
8,1,20/3/2020,0,0,1,0
8,2,20/3/2020,1,1,0,0
9,0,20/3/2020,2,1,2,0
9,1,20/3/2020,1,0,1,0
9,2,20/3/2020,1,1,1,0
10,0,20/3/2020,12,2,0,0
10,1,20/3/2020,9,1,0,0
10,2,20/3/2020,3,1,0,0
11,0,20/3/2020,26,11,13,8
11,1,20/3/2020,20,8,3,5
11,2,20/3/2020,6,3,10,3
12,0,20/3/2020,12,2,3,1
12,1,20/3/2020,3,1,1,1
12,2,20/3/2020,9,1,2,0
13,0,20/3/2020,174,26,108,4
13,1,20/3/2020,83,16,58,2
13,2,20/3/2020,90,10,49,2
14,0,20/3/2020,4,1,3,1
14,1,20/3/2020,2,0,2,1
14,2,20/3/2020,2,1,1,0
15,0,20/3/2020,4,1,0,0
15,1,20/3/2020,3,1,0,0
15,2,20/3/2020,1,0,0,0
16,0,20/3/2020,1,0,2,0
16,1,20/3/2020,1,0,1,0
16,2,20/3/2020,0,0,1,0
17,0,20/3/2020,9,3,2,0
17,1,20/3/2020,8,3,2,0
17,2,20/3/2020,1,0,0,0
18,0,20/3/2020,0,0,0,0
18,1,20/3/2020,0,0,0,0
18,2,20/3/2020,0,0,0,0
19,0,20/3/2020,1,0,0,0
19,1,20/3/2020,1,0,0,0
19,2,20/3/2020,0,0,0,0
21,0,20/3/2020,82,31,37,3
21,1,20/3/2020,41,20,14,1
21,2,20/3/2020,41,11,22,2
22,0,20/3/2020,5,0,3,1
22,1,20/3/2020,2,0,1,1
22,2,20/3/2020,3,0,2,0
23,0,20/3/2020,0,0,0,0
23,1,20/3/2020,0,0,0,0
23,2,20/3/2020,0,0,0,0
24,0,20/3/2020,3,3,2,0
24,1,20/3/2020,3,3,1,0
24,2,20/3/2020,0,0,1,0
25,0,20/3/2020,43,15,13,4
25,1,20/3/2020,29,14,4,3
25,2,20/3/2020,14,1,9,1
26,0,20/3/2020,38,9,2,2
26,1,20/3/2020,22,6,1,1
26,2,20/3/2020,16,3,1,1
27,0,20/3/2020,4,1,0,1
27,1,20/3/2020,4,1,0,1
27,2,20/3/2020,0,0,0,0
28,0,20/3/2020,12,2,0,1
28,1,20/3/2020,5,1,0,1
28,2,20/3/2020,7,1,0,0
29,0,20/3/2020,20,4,6,1
29,1,20/3/2020,9,3,3,1
29,2,20/3/2020,11,1,3,0
2A,0,20/3/2020,60,14,10,3
2A,1,20/3/2020,35,9,7,1
2A,2,20/3/2020,25,5,3,2
2B,0,20/3/2020,6,0,23,0
2B,1,20/3/2020,3,0,11,0
2B,2,20/3/2020,3,0,12,0
30,0,20/3/2020,8,1,7,1
30,1,20/3/2020,7,1,2,1
30,2,20/3/2020,1,0,5,0
31,0,20/3/2020,35,10,16,2
31,1,20/3/2020,26,9,6,1
31,2,20/3/2020,9,1,10,1
32,0,20/3/2020,3,3,0,0
32,1,20/3/2020,3,3,0,0
32,2,20/3/2020,0,0,0,0
33,0,20/3/2020,10,5,12,2
33,1,20/3/2020,5,4,7,1
33,2,20/3/2020,5,1,5,1
34,0,20/3/2020,61,21,24,4
34,1,20/3/2020,30,12,11,1
34,2,20/3/2020,30,9,13,3
35,0,20/3/2020,20,9,17,1
35,1,20/3/2020,16,7,7,1
35,2,20/3/2020,4,2,10,0
